task_id,timestamp,material,start,destination,quantity,priority
1,2026-01-01 08:00:00,M004,智能仓库,工位2,30,2
2,2026-01-01 09:00:00,M004,智能仓库,工位2,30,2
3,2026-01-01 10:00:00,M004,智能仓库,工位5,33,2
4,2026-01-01 11:00:00,M004,智能仓库,工位2,33,1
5,2026-01-01 12:00:00,M004,智能仓库,工位4,33,1
6,2026-01-01 13:00:00,M004,智能仓库,工位5,32,3
7,2026-01-01 14:00:00,M004,智能仓库,工位5,30,1
8,2026-01-01 20:00:00,M004,智能仓库,工位2,28,2
9,2026-01-01 21:00:00,M004,智能仓库,工位5,28,1
10,2026-01-01 22:00:00,M004,智能仓库,工位4,30,1
11,2026-01-01 23:00:00,M004,智能仓库,工位4,30,3
12,2026-01-02 00:00:00,M004,智能仓库,工位4,28,2
13,2026-01-02 01:00:00,M004,智能仓库,工位5,28,1
14,2026-01-02 03:00:00,M003,智能仓库,工位5,32,2
15,2026-01-02 04:00:00,M003,智能仓库,工位4,32,2
16,2026-01-02 05:00:00,M003,智能仓库,工位2,34,1
17,2026-01-02 06:00:00,M003,智能仓库,工位3,36,2
18,2026-01-02 07:00:00,M003,智能仓库,工位1,38,2
19,2026-01-02 08:00:00,M003,智能仓库,工位2,40,1
20,2026-01-02 09:00:00,M003,智能仓库,工位1,41,2
21,2026-01-02 13:00:00,M003,智能仓库,工位5,37,2
22,2026-01-02 14:00:00,M004,智能仓库,工位3,24,2
23,2026-01-02 15:00:00,M004,智能仓库,工位3,24,2
24,2026-01-02 16:00:00,M003,智能仓库,工位3,32,2
25,2026-01-02 17:00:00,M003,智能仓库,工位3,32,2
26,2026-01-02 19:00:00,M003,智能仓库,工位1,30,2
27,2026-01-03 01:00:00,M004,智能仓库,工位5,23,1
28,2026-01-03 03:00:00,M003,智能仓库,工位2,33,3
29,2026-01-03 04:00:00,M004,智能仓库,工位4,23,2
30,2026-01-03 05:00:00,M004,智能仓库,工位3,23,1
31,2026-01-03 06:00:00,M004,智能仓库,工位2,26,3
32,2026-01-03 07:00:00,M003,智能仓库,工位2,34,3
33,2026-01-03 10:00:00,M004,智能仓库,工位1,28,2
34,2026-01-03 11:00:00,M004,智能仓库,工位4,28,3
35,2026-01-03 12:00:00,M004,智能仓库,工位4,28,2
36,2026-01-03 13:00:00,M004,智能仓库,工位3,30,1
37,2026-01-03 14:00:00,M004,智能仓库,工位1,30,3
38,2026-01-03 15:00:00,M001,智能仓库,工位4,21,2
39,2026-01-03 15:00:00,M002,智能仓库,工位5,21,1
40,2026-01-03 15:00:00,M003,智能仓库,工位3,40,1
41,2026-01-03 22:00:00,M004,智能仓库,工位2,28,1
42,2026-01-04 00:00:00,M003,智能仓库,工位3,32,1
43,2026-01-04 01:00:00,M003,智能仓库,工位2,32,2
44,2026-01-04 02:00:00,M004,智能仓库,工位3,22,2
45,2026-01-04 03:00:00,M004,智能仓库,工位3,24,2
46,2026-01-04 04:00:00,M004,智能仓库,工位1,24,1
47,2026-01-04 07:00:00,M004,智能仓库,工位4,24,1
48,2026-01-04 08:00:00,M004,智能仓库,工位2,26,3
49,2026-01-04 09:00:00,M003,智能仓库,工位4,37,3
50,2026-01-04 10:00:00,M003,智能仓库,工位3,39,2
51,2026-01-04 11:00:00,M003,智能仓库,工位1,39,3
52,2026-01-04 13:00:00,M004,智能仓库,工位1,26,2
53,2026-01-04 14:00:00,M004,智能仓库,工位5,28,1
54,2026-01-04 15:00:00,M004,智能仓库,工位3,29,3
55,2026-01-04 16:00:00,M003,智能仓库,工位2,39,2
56,2026-01-04 17:00:00,M003,智能仓库,工位4,39,1
57,2026-01-04 18:00:00,M003,智能仓库,工位4,38,2
58,2026-01-04 19:00:00,M003,智能仓库,工位3,41,3
59,2026-01-04 20:00:00,M003,智能仓库,工位4,40,1
60,2026-01-04 21:00:00,M003,智能仓库,工位3,41,1
61,2026-01-04 22:00:00,M003,智能仓库,工位4,40,3
62,2026-01-04 23:00:00,M003,智能仓库,工位2,38,1
63,2026-01-05 03:00:00,M004,智能仓库,工位1,24,3
64,2026-01-05 04:00:00,M004,智能仓库,工位4,24,3
65,2026-01-05 05:00:00,M004,智能仓库,工位2,24,3
66,2026-01-05 06:00:00,M004,智能仓库,工位1,24,1
67,2026-01-05 07:00:00,M003,智能仓库,工位5,32,1
68,2026-01-05 08:00:00,M004,智能仓库,工位3,24,1
69,2026-01-05 09:00:00,M004,智能仓库,工位5,24,3
70,2026-01-05 10:00:00,M004,智能仓库,工位3,26,2
71,2026-01-05 11:00:00,M004,智能仓库,工位1,28,2
72,2026-01-05 12:00:00,M004,智能仓库,工位5,28,1
73,2026-01-05 13:00:00,M004,智能仓库,工位3,28,3
74,2026-01-05 14:00:00,M004,智能仓库,工位1,29,2
75,2026-01-05 15:00:00,M004,智能仓库,工位2,31,3
76,2026-01-05 16:00:00,M004,智能仓库,工位1,28,2
77,2026-01-05 17:00:00,M004,智能仓库,工位3,28,1
78,2026-01-05 18:00:00,M004,智能仓库,工位4,27,1
79,2026-01-05 19:00:00,M004,智能仓库,工位2,27,1
80,2026-01-05 20:00:00,M004,智能仓库,工位3,26,2
81,2026-01-05 22:00:00,M004,智能仓库,工位4,24,1
82,2026-01-05 23:00:00,M004,智能仓库,工位3,24,1
83,2026-01-06 00:00:00,M003,智能仓库,工位1,32,1
84,2026-01-06 01:00:00,M003,智能仓库,工位3,32,2
85,2026-01-06 02:00:00,M003,智能仓库,工位2,34,2
86,2026-01-06 03:00:00,M003,智能仓库,工位5,36,2
87,2026-01-06 04:00:00,M003,智能仓库,工位4,34,1
88,2026-01-06 05:00:00,M003,智能仓库,工位2,36,2
89,2026-01-06 06:00:00,M003,智能仓库,工位3,38,2
90,2026-01-06 07:00:00,M003,智能仓库,工位2,38,1
91,2026-01-06 08:00:00,M003,智能仓库,工位4,38,1
92,2026-01-06 09:00:00,M001,智能仓库,工位1,21,2
93,2026-01-06 09:00:00,M003,智能仓库,工位3,41,1
94,2026-01-06 10:00:00,M001,智能仓库,工位4,21,1
95,2026-01-06 10:00:00,M003,智能仓库,工位5,41,3
96,2026-01-06 11:00:00,M003,智能仓库,工位5,39,3
97,2026-01-06 12:00:00,M003,智能仓库,工位3,39,2
98,2026-01-06 13:00:00,M003,智能仓库,工位3,39,2
99,2026-01-06 14:00:00,M002,智能仓库,工位2,21,2
100,2026-01-06 14:00:00,M003,智能仓库,工位4,40,2
101,2026-01-06 15:00:00,M004,智能仓库,工位4,31,1
102,2026-01-06 17:00:00,M003,智能仓库,工位2,34,1
103,2026-01-06 18:00:00,M003,智能仓库,工位2,34,2
104,2026-01-06 19:00:00,M004,智能仓库,工位2,24,2
105,2026-01-06 20:00:00,M004,智能仓库,工位2,26,2
106,2026-01-06 21:00:00,M004,智能仓库,工位5,28,1
107,2026-01-06 22:00:00,M004,智能仓库,工位2,28,3
108,2026-01-06 23:00:00,M004,智能仓库,工位5,26,2
109,2026-01-07 00:00:00,M003,智能仓库,工位5,36,1
110,2026-01-07 01:00:00,M003,智能仓库,工位2,36,3
111,2026-01-07 02:00:00,M003,智能仓库,工位2,35,2
112,2026-01-07 12:00:00,M003,智能仓库,工位3,38,2
113,2026-01-07 13:00:00,M003,智能仓库,工位1,38,3
114,2026-01-07 14:00:00,M003,智能仓库,工位2,40,1
115,2026-01-07 16:00:00,M004,智能仓库,工位2,26,1
116,2026-01-07 17:00:00,M004,智能仓库,工位4,26,1
117,2026-01-08 02:00:00,M004,智能仓库,工位1,24,3
118,2026-01-08 03:00:00,M004,智能仓库,工位3,26,2
119,2026-01-08 04:00:00,M004,智能仓库,工位2,26,3
120,2026-01-08 05:00:00,M004,智能仓库,工位5,26,1
121,2026-01-08 06:00:00,M004,智能仓库,工位5,28,2
122,2026-01-08 07:00:00,M004,智能仓库,工位1,28,3
123,2026-01-08 08:00:00,M004,智能仓库,工位1,28,2
124,2026-01-08 10:00:00,M004,智能仓库,工位3,24,3
125,2026-01-08 11:00:00,M004,智能仓库,工位1,26,3
126,2026-01-08 12:00:00,M004,智能仓库,工位3,26,3
127,2026-01-08 16:00:00,M008,智能仓库,工位5,21,3
128,2026-01-08 18:00:00,M004,智能仓库,工位4,28,3
129,2026-01-08 19:00:00,M004,智能仓库,工位2,28,3
130,2026-01-08 20:00:00,M004,智能仓库,工位2,30,2
131,2026-01-08 21:00:00,M004,智能仓库,工位3,30,3
132,2026-01-08 22:00:00,M004,智能仓库,工位1,32,2
133,2026-01-08 23:00:00,M004,智能仓库,工位2,29,3
134,2026-01-09 00:00:00,M004,智能仓库,工位5,30,3
135,2026-01-09 01:00:00,M004,智能仓库,工位2,29,2
