timestamp,material_id,stock_quantity,safety_stock,inbound_quantity
2026-01-01 08:00:00,M006,288.0,100,0.0
2026-01-01 08:00:00,M007,289.0,100,0.0
2026-01-01 08:00:00,M008,278.0,100,0.0
2026-01-01 09:00:00,M006,276.0,100,0.0
2026-01-01 09:00:00,M007,278.0,100,0.0
2026-01-01 09:00:00,M008,256.0,100,0.0
2026-01-01 10:00:00,M006,264.0,100,0.0
2026-01-01 10:00:00,M007,267.0,100,0.0
2026-01-01 10:00:00,M008,234.0,100,0.0
2026-01-01 11:00:00,M006,253.0,100,0.0
2026-01-01 11:00:00,M007,257.0,100,0.0
2026-01-01 11:00:00,M008,214.0,100,0.0
2026-01-01 12:00:00,M006,243.0,100,0.0
2026-01-01 12:00:00,M007,247.0,100,0.0
2026-01-01 12:00:00,M008,194.0,100,0.0
2026-01-01 13:00:00,M001,280.0,100,0.0
2026-01-01 13:00:00,M002,280.0,100,0.0
2026-01-01 13:00:00,M003,259.0,100,0.0
2026-01-01 14:00:00,M001,259.0,100,0.0
2026-01-01 14:00:00,M002,259.0,100,0.0
2026-01-01 14:00:00,M003,216.0,100,0.0
2026-01-01 15:00:00,M001,236.0,100,0.0
2026-01-01 15:00:00,M002,236.0,100,0.0
2026-01-01 15:00:00,M003,170.0,100,0.0
2026-01-01 16:00:00,M006,231.0,100,0.0
2026-01-01 16:00:00,M007,235.0,100,0.0
2026-01-01 16:00:00,M008,169.0,100,0.0
2026-01-01 17:00:00,M006,220.0,100,0.0
2026-01-01 17:00:00,M007,224.0,100,0.0
2026-01-01 17:00:00,M008,147.0,100,0.0
2026-01-01 18:00:00,M006,209.0,100,0.0
2026-01-01 18:00:00,M007,214.0,100,0.0
2026-01-01 18:00:00,M008,127.0,100,0.0
2026-01-01 19:00:00,M006,200.0,100,0.0
2026-01-01 19:00:00,M007,205.0,100,0.0
2026-01-01 19:00:00,M008,109.0,100,0.0
2026-01-01 20:00:00,M001,217.0,100,0.0
2026-01-01 20:00:00,M002,217.0,100,0.0
2026-01-01 20:00:00,M003,132.0,100,0.0
2026-01-01 21:00:00,M001,197.0,100,0.0
2026-01-01 21:00:00,M002,197.0,100,0.0
2026-01-01 21:00:00,M003,500.0,100,408.0
2026-01-01 22:00:00,M001,178.0,100,0.0
2026-01-01 22:00:00,M002,179.0,100,0.0
2026-01-01 22:00:00,M003,462.0,100,0.0
2026-01-01 23:00:00,M001,158.0,100,0.0
2026-01-01 23:00:00,M002,160.0,100,0.0
2026-01-01 23:00:00,M003,422.0,100,0.0
2026-01-02 00:00:00,M001,139.0,100,0.0
2026-01-02 00:00:00,M002,142.0,100,0.0
2026-01-02 00:00:00,M003,384.0,100,0.0
2026-01-02 01:00:00,M001,120.0,100,0.0
2026-01-02 01:00:00,M002,124.0,100,0.0
2026-01-02 01:00:00,M003,346.0,100,0.0
2026-01-02 02:00:00,M001,103.0,100,0.0
2026-01-02 02:00:00,M002,107.0,100,0.0
2026-01-02 02:00:00,M003,310.0,100,0.0
2026-01-02 03:00:00,M001,500.0,100,416.0
2026-01-02 03:00:00,M002,500.0,100,411.0
2026-01-02 03:00:00,M003,272.0,100,0.0
2026-01-02 04:00:00,M001,479.0,100,0.0
2026-01-02 04:00:00,M002,479.0,100,0.0
2026-01-02 04:00:00,M003,231.0,100,0.0
2026-01-02 05:00:00,M001,459.0,100,0.0
2026-01-02 05:00:00,M002,459.0,100,0.0
2026-01-02 05:00:00,M003,191.0,100,0.0
2026-01-02 06:00:00,M001,439.0,100,0.0
2026-01-02 06:00:00,M002,440.0,100,0.0
2026-01-02 06:00:00,M003,151.0,100,0.0
2026-01-02 07:00:00,M001,419.0,100,0.0
2026-01-02 07:00:00,M002,421.0,100,0.0
2026-01-02 07:00:00,M003,112.0,100,0.0
2026-01-02 08:00:00,M001,398.0,100,0.0
2026-01-02 08:00:00,M002,400.0,100,0.0
2026-01-02 08:00:00,M003,500.0,100,430.0
2026-01-02 09:00:00,M001,376.0,100,0.0
2026-01-02 09:00:00,M002,378.0,100,0.0
2026-01-02 09:00:00,M003,456.0,100,0.0
2026-01-02 10:00:00,M001,353.0,100,0.0
2026-01-02 10:00:00,M002,355.0,100,0.0
2026-01-02 10:00:00,M003,410.0,100,0.0
2026-01-02 11:00:00,M001,330.0,100,0.0
2026-01-02 11:00:00,M002,332.0,100,0.0
2026-01-02 11:00:00,M003,364.0,100,0.0
2026-01-02 12:00:00,M001,306.0,100,0.0
2026-01-02 12:00:00,M002,309.0,100,0.0
2026-01-02 12:00:00,M003,318.0,100,0.0
2026-01-02 13:00:00,M001,282.0,100,0.0
2026-01-02 13:00:00,M002,286.0,100,0.0
2026-01-02 13:00:00,M003,272.0,100,0.0
2026-01-02 14:00:00,M006,189.0,100,0.0
2026-01-02 14:00:00,M007,194.0,100,0.0
2026-01-02 14:00:00,M008,500.0,100,414.0
2026-01-02 15:00:00,M006,178.0,100,0.0
2026-01-02 15:00:00,M007,183.0,100,0.0
2026-01-02 15:00:00,M008,477.0,100,0.0
2026-01-02 16:00:00,M006,167.0,100,0.0
2026-01-02 16:00:00,M007,173.0,100,0.0
2026-01-02 16:00:00,M008,455.0,100,0.0
2026-01-02 17:00:00,M001,261.0,100,0.0
2026-01-02 17:00:00,M002,266.0,100,0.0
2026-01-02 17:00:00,M003,232.0,100,0.0
2026-01-02 18:00:00,M001,239.0,100,0.0
2026-01-02 18:00:00,M002,245.0,100,0.0
2026-01-02 18:00:00,M003,190.0,100,0.0
2026-01-02 19:00:00,M006,155.0,100,0.0
2026-01-02 19:00:00,M007,162.0,100,0.0
2026-01-02 19:00:00,M008,433.0,100,0.0
2026-01-02 20:00:00,M006,143.0,100,0.0
2026-01-02 20:00:00,M007,150.0,100,0.0
2026-01-02 20:00:00,M008,409.0,100,0.0
2026-01-02 21:00:00,M006,131.0,100,0.0
2026-01-02 21:00:00,M007,138.0,100,0.0
2026-01-02 21:00:00,M008,385.0,100,0.0
2026-01-02 22:00:00,M006,119.0,100,0.0
2026-01-02 22:00:00,M007,126.0,100,0.0
2026-01-02 22:00:00,M008,361.0,100,0.0
2026-01-02 23:00:00,M006,109.0,100,0.0
2026-01-02 23:00:00,M007,116.0,100,0.0
2026-01-02 23:00:00,M008,341.0,100,0.0
2026-01-03 00:00:00,M001,223.0,100,0.0
2026-01-03 00:00:00,M004,270.0,100,0.0
2026-01-03 00:00:00,M005,285.0,100,0.0
2026-01-03 01:00:00,M001,208.0,100,0.0
2026-01-03 01:00:00,M004,242.0,100,0.0
2026-01-03 01:00:00,M005,271.0,100,0.0
2026-01-03 02:00:00,M001,192.0,100,0.0
2026-01-03 02:00:00,M004,212.0,100,0.0
2026-01-03 02:00:00,M005,257.0,100,0.0
2026-01-03 03:00:00,M001,176.0,100,0.0
2026-01-03 03:00:00,M004,182.0,100,0.0
2026-01-03 03:00:00,M005,243.0,100,0.0
2026-01-03 04:00:00,M001,160.0,100,0.0
2026-01-03 04:00:00,M004,152.0,100,0.0
2026-01-03 04:00:00,M005,229.0,100,0.0
2026-01-03 05:00:00,M001,144.0,100,0.0
2026-01-03 05:00:00,M004,120.0,100,0.0
2026-01-03 05:00:00,M005,214.0,100,0.0
2026-01-03 06:00:00,M001,127.0,100,0.0
2026-01-03 06:00:00,M004,500.0,100,413.0
2026-01-03 06:00:00,M005,198.0,100,0.0
2026-01-03 07:00:00,M001,112.0,100,0.0
2026-01-03 07:00:00,M004,470.0,100,0.0
2026-01-03 07:00:00,M005,183.0,100,0.0
2026-01-03 08:00:00,M001,500.0,100,404.0
2026-01-03 08:00:00,M004,438.0,100,0.0
2026-01-03 08:00:00,M005,167.0,100,0.0
