timestamp,material_id,demand,base_demand,structured_bias
2026-01-01 08:00:00,M006,12,11,0.7372
2026-01-01 08:00:00,M007,11,11,-0.2706
2026-01-01 08:00:00,M008,22,22,0.1255
2026-01-01 09:00:00,M006,12,11,0.9825
2026-01-01 09:00:00,M007,11,11,-0.441
2026-01-01 09:00:00,M008,22,22,0.176
2026-01-01 10:00:00,M006,12,11,1.0661
2026-01-01 10:00:00,M007,11,11,-0.2418
2026-01-01 10:00:00,M008,22,22,0.2002
2026-01-01 11:00:00,M006,11,10,0.66
2026-01-01 11:00:00,M007,10,10,-0.0886
2026-01-01 11:00:00,M008,20,20,0.1435
2026-01-01 12:00:00,M006,10,10,0.4458
2026-01-01 12:00:00,M007,10,10,-0.4484
2026-01-01 12:00:00,M008,20,20,0.351
2026-01-01 13:00:00,M001,20,20,0.4168
2026-01-01 13:00:00,M002,20,20,0.1048
2026-01-01 13:00:00,M003,41,40,0.763
2026-01-01 14:00:00,M001,21,21,0.4054
2026-01-01 14:00:00,M002,21,21,0.1824
2026-01-01 14:00:00,M003,43,42,1.0343
2026-01-01 15:00:00,M001,23,23,0.2939
2026-01-01 15:00:00,M002,23,23,0.2764
2026-01-01 15:00:00,M003,46,46,0.4631
2026-01-01 16:00:00,M006,12,12,0.383
2026-01-01 16:00:00,M007,12,12,-0.3205
2026-01-01 16:00:00,M008,25,24,0.8999
2026-01-01 17:00:00,M006,11,11,0.3937
2026-01-01 17:00:00,M007,11,11,-0.4957
2026-01-01 17:00:00,M008,22,22,0.2405
2026-01-01 18:00:00,M006,11,10,0.554
2026-01-01 18:00:00,M007,10,10,-0.2818
2026-01-01 18:00:00,M008,20,20,-0.0762
2026-01-01 19:00:00,M006,9,9,-0.1316
2026-01-01 19:00:00,M007,9,9,-0.0968
2026-01-01 19:00:00,M008,18,18,0.1825
2026-01-01 20:00:00,M001,19,19,-0.2135
2026-01-01 20:00:00,M002,19,19,-0.2664
2026-01-01 20:00:00,M003,38,38,0.0
2026-01-01 21:00:00,M001,20,20,-0.2225
2026-01-01 21:00:00,M002,20,20,-0.3903
2026-01-01 21:00:00,M003,40,40,0.4432
2026-01-01 22:00:00,M001,19,19,-0.2856
2026-01-01 22:00:00,M002,18,19,-0.8896
2026-01-01 22:00:00,M003,38,38,0.0311
2026-01-01 23:00:00,M001,20,20,0.0051
2026-01-01 23:00:00,M002,19,20,-0.6765
2026-01-01 23:00:00,M003,40,40,-0.0919
2026-01-02 00:00:00,M001,19,19,-0.3942
2026-01-02 00:00:00,M002,18,19,-0.8633
2026-01-02 00:00:00,M003,38,38,-0.1034
2026-01-02 01:00:00,M001,19,19,-0.3169
2026-01-02 01:00:00,M002,18,19,-0.8551
2026-01-02 01:00:00,M003,38,38,-0.1629
2026-01-02 02:00:00,M001,17,18,-0.5277
2026-01-02 02:00:00,M002,17,18,-1.0636
2026-01-02 02:00:00,M003,36,36,-0.4851
2026-01-02 03:00:00,M001,19,19,-0.3273
2026-01-02 03:00:00,M002,18,19,-0.5856
2026-01-02 03:00:00,M003,38,38,-0.4639
2026-01-02 04:00:00,M001,21,21,-0.042
2026-01-02 04:00:00,M002,21,21,-0.1415
2026-01-02 04:00:00,M003,41,42,-0.5865
2026-01-02 05:00:00,M001,20,20,-0.1556
2026-01-02 05:00:00,M002,20,20,-0.4924
2026-01-02 05:00:00,M003,40,40,-0.345
2026-01-02 06:00:00,M001,20,20,-0.409
2026-01-02 06:00:00,M002,19,20,-0.7302
2026-01-02 06:00:00,M003,40,40,-0.4444
2026-01-02 07:00:00,M001,20,20,-0.3493
2026-01-02 07:00:00,M002,19,20,-0.5764
2026-01-02 07:00:00,M003,39,40,-0.5831
2026-01-02 08:00:00,M001,21,21,0.0578
2026-01-02 08:00:00,M002,21,21,-0.1043
2026-01-02 08:00:00,M003,42,42,-0.0709
2026-01-02 09:00:00,M001,22,22,0.0457
2026-01-02 09:00:00,M002,22,22,0.2476
2026-01-02 09:00:00,M003,44,44,-0.018
2026-01-02 10:00:00,M001,23,23,0.4251
2026-01-02 10:00:00,M002,23,23,-0.0354
2026-01-02 10:00:00,M003,46,46,-0.3277
2026-01-02 11:00:00,M001,23,23,0.3858
2026-01-02 11:00:00,M002,23,23,-0.0661
2026-01-02 11:00:00,M003,46,46,-0.1987
2026-01-02 12:00:00,M001,24,23,0.6503
2026-01-02 12:00:00,M002,23,23,-0.2613
2026-01-02 12:00:00,M003,46,46,-0.0797
2026-01-02 13:00:00,M001,24,23,0.7804
2026-01-02 13:00:00,M002,23,23,-0.3315
2026-01-02 13:00:00,M003,46,46,0.0094
2026-01-02 14:00:00,M006,11,11,0.1478
2026-01-02 14:00:00,M007,11,11,-0.1984
2026-01-02 14:00:00,M008,23,22,0.8219
2026-01-02 15:00:00,M006,11,11,0.1679
2026-01-02 15:00:00,M007,11,11,-0.392
2026-01-02 15:00:00,M008,23,22,0.7247
2026-01-02 16:00:00,M006,11,11,0.1394
2026-01-02 16:00:00,M007,10,11,-0.6023
2026-01-02 16:00:00,M008,22,22,0.223
2026-01-02 17:00:00,M001,21,20,0.7679
2026-01-02 17:00:00,M002,20,20,-0.0977
2026-01-02 17:00:00,M003,40,40,-0.1496
2026-01-02 18:00:00,M001,22,21,0.7598
2026-01-02 18:00:00,M002,21,21,-0.0421
2026-01-02 18:00:00,M003,42,42,-0.2265
2026-01-02 19:00:00,M006,12,11,0.5982
2026-01-02 19:00:00,M007,11,11,-0.2344
2026-01-02 19:00:00,M008,22,22,0.0946
2026-01-02 20:00:00,M006,12,12,0.2962
2026-01-02 20:00:00,M007,12,12,-0.2564
2026-01-02 20:00:00,M008,24,24,0.0308
2026-01-02 21:00:00,M006,12,12,0.0755
2026-01-02 21:00:00,M007,12,12,-0.3918
2026-01-02 21:00:00,M008,24,24,-0.4108
2026-01-02 22:00:00,M006,12,12,0.0573
2026-01-02 22:00:00,M007,12,12,-0.0427
2026-01-02 22:00:00,M008,24,24,0.0766
2026-01-02 23:00:00,M006,10,10,-0.1298
2026-01-02 23:00:00,M007,10,10,-0.2892
2026-01-02 23:00:00,M008,20,20,-0.172
2026-01-03 00:00:00,M001,16,15,0.7729
2026-01-03 00:00:00,M004,30,30,-0.3505
2026-01-03 00:00:00,M005,15,15,-0.2816
2026-01-03 01:00:00,M001,15,14,0.6358
2026-01-03 01:00:00,M004,28,28,-0.3299
2026-01-03 01:00:00,M005,14,14,-0.3451
2026-01-03 02:00:00,M001,16,15,0.6518
2026-01-03 02:00:00,M004,30,30,-0.1968
2026-01-03 02:00:00,M005,14,15,-0.5455
2026-01-03 03:00:00,M001,16,15,0.8959
2026-01-03 03:00:00,M004,30,30,-0.0515
2026-01-03 03:00:00,M005,14,15,-0.5579
2026-01-03 04:00:00,M001,16,15,0.5535
2026-01-03 04:00:00,M004,30,30,-0.1941
2026-01-03 04:00:00,M005,14,15,-0.8327
2026-01-03 05:00:00,M001,16,16,0.3784
2026-01-03 05:00:00,M004,32,32,-0.4713
2026-01-03 05:00:00,M005,15,16,-0.6174
2026-01-03 06:00:00,M001,17,17,0.2442
2026-01-03 06:00:00,M004,33,34,-0.5954
2026-01-03 06:00:00,M005,16,17,-0.6931
2026-01-03 07:00:00,M001,15,15,0.3652
2026-01-03 07:00:00,M004,30,30,-0.3636
2026-01-03 07:00:00,M005,15,15,-0.4009
2026-01-03 08:00:00,M001,16,16,0.2734
2026-01-03 08:00:00,M004,32,32,-0.0928
2026-01-03 08:00:00,M005,16,16,-0.259
2026-01-03 09:00:00,M006,10,10,0.3245
2026-01-03 09:00:00,M007,9,10,-0.5652
2026-01-03 09:00:00,M008,20,20,0.0744
2026-01-03 10:00:00,M006,10,10,0.3657
2026-01-03 10:00:00,M007,10,10,-0.4454
2026-01-03 10:00:00,M008,20,20,0.0545
2026-01-03 11:00:00,M006,11,11,-0.0564
2026-01-03 11:00:00,M007,11,11,0.4139
2026-01-03 11:00:00,M008,22,22,0.2074
2026-01-03 12:00:00,M006,11,11,-0.2684
2026-01-03 12:00:00,M007,11,11,-0.1471
2026-01-03 12:00:00,M008,22,22,0.3295
2026-01-03 13:00:00,M001,16,16,0.3868
2026-01-03 13:00:00,M004,32,32,0.0402
2026-01-03 13:00:00,M005,16,16,0.0013
2026-01-03 14:00:00,M001,17,17,0.4993
2026-01-03 14:00:00,M004,34,34,0.26
2026-01-03 14:00:00,M005,17,17,-0.3363
2026-01-03 15:00:00,M001,16,16,0.1761
2026-01-03 15:00:00,M004,33,32,0.5187
2026-01-03 15:00:00,M005,16,16,0.3193
2026-01-03 16:00:00,M001,16,16,0.0206
2026-01-03 16:00:00,M004,32,32,0.4912
2026-01-03 16:00:00,M005,17,16,0.8261
2026-01-03 17:00:00,M001,21,21,-0.0492
2026-01-03 17:00:00,M002,21,21,-0.0843
2026-01-03 17:00:00,M003,42,42,-0.0058
2026-01-03 18:00:00,M001,20,21,-0.6541
2026-01-03 18:00:00,M002,21,21,0.1942
2026-01-03 18:00:00,M003,42,42,0.2357
2026-01-03 19:00:00,M001,20,20,-0.483
2026-01-03 19:00:00,M002,20,20,0.3332
2026-01-03 19:00:00,M003,40,40,0.097
2026-01-03 20:00:00,M001,20,20,-0.2047
2026-01-03 20:00:00,M002,20,20,0.2998
2026-01-03 20:00:00,M003,40,40,0.4749
2026-01-03 21:00:00,M001,15,15,0.1259
2026-01-03 21:00:00,M004,30,30,0.4402
2026-01-03 21:00:00,M005,16,15,0.5214
2026-01-03 22:00:00,M001,16,16,0.0298
2026-01-03 22:00:00,M004,32,32,0.1278
2026-01-03 22:00:00,M005,16,16,0.3292
2026-01-03 23:00:00,M001,20,20,0.0549
2026-01-03 23:00:00,M002,20,20,0.1262
2026-01-03 23:00:00,M003,40,40,0.23
2026-01-04 00:00:00,M001,15,15,-0.0002
2026-01-04 00:00:00,M004,30,30,0.2912
2026-01-04 00:00:00,M005,15,15,-0.0782
2026-01-04 01:00:00,M006,9,9,-0.3189
2026-01-04 01:00:00,M007,9,9,-0.3976
2026-01-04 01:00:00,M008,18,18,0.4547
2026-01-04 02:00:00,M006,10,10,-0.3977
2026-01-04 02:00:00,M007,10,10,-0.3113
2026-01-04 02:00:00,M008,20,20,0.3347
2026-01-04 03:00:00,M006,9,10,-0.6791
2026-01-04 03:00:00,M007,9,10,-0.546
2026-01-04 03:00:00,M008,20,20,0.1013
2026-01-04 04:00:00,M006,10,10,-0.1769
2026-01-04 04:00:00,M007,9,10,-0.7995
2026-01-04 04:00:00,M008,20,20,-0.1794
2026-01-04 05:00:00,M006,9,10,-0.6936
2026-01-04 05:00:00,M007,10,10,-0.4634
2026-01-04 05:00:00,M008,20,20,-0.2677
2026-01-04 06:00:00,M001,19,19,-0.3127
2026-01-04 06:00:00,M002,19,19,0.2292
2026-01-04 06:00:00,M003,38,38,0.1861
2026-01-04 07:00:00,M001,19,20,-0.7772
2026-01-04 07:00:00,M002,20,20,0.3623
2026-01-04 07:00:00,M003,40,40,-0.0364
2026-01-04 08:00:00,M001,20,20,-0.1864
2026-01-04 08:00:00,M002,21,20,0.5067
2026-01-04 08:00:00,M003,40,40,-0.0845
2026-01-04 09:00:00,M001,20,20,-0.1471
2026-01-04 09:00:00,M002,21,20,1.0723
2026-01-04 09:00:00,M003,40,40,0.3154
2026-01-04 10:00:00,M001,20,21,-0.555
2026-01-04 10:00:00,M002,22,21,0.8539
2026-01-04 10:00:00,M003,42,42,0.1821
2026-01-04 11:00:00,M001,22,22,-0.0877
2026-01-04 11:00:00,M002,23,22,1.0674
2026-01-04 11:00:00,M003,45,44,0.6241
2026-01-04 12:00:00,M001,22,22,-0.1539
2026-01-04 12:00:00,M002,23,22,0.6041
2026-01-04 12:00:00,M003,44,44,0.3455
2026-01-04 13:00:00,M001,23,23,0.2574
2026-01-04 13:00:00,M002,23,23,0.1914
2026-01-04 13:00:00,M003,46,46,0.4097
2026-01-04 14:00:00,M001,17,17,0.281
2026-01-04 14:00:00,M004,34,34,0.3304
2026-01-04 14:00:00,M005,17,17,0.4193
2026-01-04 15:00:00,M001,16,16,-0.1336
2026-01-04 15:00:00,M004,32,32,0.1864
2026-01-04 15:00:00,M005,16,16,0.4933
2026-01-04 16:00:00,M001,17,17,-0.392
